employee_residence,experience_level,years_experience,employee_id
China,SE,9,1
Ireland,EN,1,2
South Korea,MI,2,3
India,SE,7,4
Singapore,EN,0,5
Germany,SE,7,6
United Kingdom,MI,3,7
France,EN,0,8
Singapore,SE,7,9
Austria,SE,5,10
Sweden,SE,8,11
South Korea,EX,15,12
France,SE,5,13
Norway,EN,0,14
Sweden,SE,6,15
Israel,EN,0,16
India,EN,1,17
France,EX,15,18
Singapore,SE,9,19
Germany,MI,4,20
France,MI,3,21
United States,MI,2,22
Ireland,MI,4,23
China,MI,2,24
Israel,SE,6,25
India,MI,2,26
Singapore,MI,2,27
Ireland,EN,0,28
Israel,MI,2,29
Netherlands,EN,1,30
Denmark,EN,1,31
Switzerland,SE,7,32
Finland,EX,16,33
Singapore,SE,8,34
Netherlands,EX,10,35
Japan,MI,2,36
Israel,EX,18,37
China,EN,1,38
Netherlands,EX,15,39
United States,SE,8,40
Finland,EN,1,41
Netherlands,SE,5,42
China,MI,4,43
Switzerland,EX,12,44
Finland,EX,19,45
India,EX,17,46
United States,MI,3,47
Norway,SE,8,48
Israel,MI,4,49
Canada,MI,3,50
India,MI,4,51
France,SE,8,52
Norway,SE,6,53
Switzerland,MI,3,54
Canada,MI,4,55
South Korea,EN,0,56
Ireland,SE,8,57
Canada,EX,12,58
Germany,EN,0,59
Singapore,MI,4,60
France,SE,7,61
Norway,MI,3,62
United Kingdom,SE,9,63
Finland,EN,0,64
Canada,EX,16,65
India,SE,6,66
United States,EX,12,67
France,EX,17,68
Australia,EX,19,69
Canada,EX,10,70
Sweden,MI,3,71
Finland,EX,13,72
Denmark,EN,0,73
India,EN,0,74
United States,EN,0,75
France,EX,11,76
Canada,EN,0,77
Canada,EX,19,78
Israel,SE,8,79
France,SE,6,80
Denmark,EX,12,81
Norway,SE,9,82
Israel,EX,16,83
Netherlands,MI,3,84
United Kingdom,EX,13,85
United Kingdom,EX,16,86
Norway,MI,2,87
France,MI,2,88
United States,EX,18,89
France,EX,18,90
France,SE,9,91
Austria,EN,0,92
Ireland,SE,7,93
Singapore,EX,17,94
South Korea,SE,9,95
Austria,SE,9,96
Netherlands,EN,0,97
Austria,EX,14,98
Denmark,MI,4,99
South Korea,EX,11,100
Denmark,SE,5,101
Switzerland,EN,0,102
Ireland,EX,17,103
Austria,EN,1,104
Finland,SE,5,105
Canada,EN,1,106
France,EX,13,107
United Kingdom,EX,11,108
Finland,MI,2,109
India,SE,8,110
Denmark,EX,11,111
France,MI,4,112
India,SE,9,113
Australia,MI,3,114
China,EN,0,115
Austria,EX,17,116
Austria,MI,4,117
Switzerland,EX,19,118
Netherlands,EX,12,119
United States,SE,7,120
Ireland,MI,3,121
Sweden,EX,11,122
Finland,MI,4,123
Finland,SE,6,124
Israel,EX,15,125
Canada,SE,7,126
Netherlands,SE,7,127
Israel,MI,3,128
Canada,EX,13,129
Singapore,EX,19,130
Sweden,EX,19,131
Germany,EN,1,132
Germany,SE,9,133
China,MI,3,134
Denmark,MI,2,135
Norway,SE,7,136
South Korea,MI,3,137
Israel,SE,7,138
Switzerland,EX,14,139
India,EX,11,140
Canada,MI,2,141
Singapore,EX,15,142
Austria,EX,13,143
China,EX,17,144
Ireland,EX,11,145
Norway,EN,1,146
Australia,EX,13,147
South Korea,SE,7,148
Sweden,SE,5,149
Ireland,MI,2,150
Austria,MI,3,151
United Kingdom,MI,4,152
Singapore,SE,5,153
Norway,EX,18,154
Australia,EN,0,155
Finland,MI,3,156
Israel,SE,5,157
Canada,EX,18,158
Canada,SE,5,159
United States,SE,5,160
United Kingdom,EX,15,161
United Kingdom,EN,0,162
Ireland,SE,5,163
Switzerland,EN,1,164
Germany,EX,12,165
France,EN,1,166
Netherlands,MI,2,167
Finland,EX,15,168
Canada,EX,15,169
Japan,EN,0,170
Japan,MI,3,171
Australia,EX,18,172
United States,SE,6,173
Singapore,EX,10,174
Norway,MI,4,175
Austria,EX,16,176
Switzerland,SE,8,177
South Korea,EX,10,178
United Kingdom,SE,5,179
South Korea,SE,5,180
United Kingdom,EN,1,181
Australia,EN,1,182
China,EX,18,183
United Kingdom,SE,8,184
Austria,SE,7,185
France,EX,12,186
India,EX,15,187
Israel,EX,12,188
Canada,EX,14,189
Japan,EX,17,190
Netherlands,EX,19,191
Israel,EN,1,192
Singapore,EX,18,193
Japan,EX,11,194
China,EX,15,195
Australia,SE,5,196
Finland,SE,9,197
Germany,MI,2,198
Israel,EX,19,199
South Korea,EX,19,200
India,SE,5,201
United States,EX,16,202
Canada,SE,8,203
Sweden,EN,0,204
United States,EX,15,205
Switzerland,MI,2,206
Germany,EX,15,207
Netherlands,SE,8,208
Japan,EN,1,209
Norway,EX,12,210
Finland,EX,12,211
Australia,SE,6,212
Japan,SE,5,213
South Korea,SE,6,214
Japan,SE,8,215
Austria,SE,8,216
Ireland,EX,13,217
Switzerland,EX,13,218
Sweden,EN,1,219
Austria,EX,12,220
Finland,SE,7,221
China,SE,6,222
Singapore,EN,1,223
Switzerland,SE,9,224
Netherlands,EX,17,225
Netherlands,EX,14,226
Norway,EX,19,227
Germany,EX,11,228
South Korea,EN,1,229
India,MI,3,230
Japan,EX,15,231
Germany,MI,3,232
Germany,EX,18,233
Australia,SE,9,234
China,EX,11,235
Japan,EX,14,236
United States,MI,4,237
United States,EN,1,238
Japan,SE,6,239
United States,EX,19,240
Germany,SE,8,241
Sweden,MI,2,242
Japan,SE,7,243
Singapore,EX,14,244
Norway,EX,10,245
Norway,EX,11,246
Denmark,SE,8,247
Canada,SE,6,248
Japan,MI,4,249
Germany,SE,6,250
South Korea,SE,8,251
Sweden,SE,9,252
China,EX,12,253
Singapore,MI,3,254
Australia,EX,10,255
United Kingdom,MI,2,256
United States,EX,13,257
Japan,SE,9,258
Australia,SE,8,259
Denmark,EX,10,260
China,EX,19,261
Japan,EX,18,262
Netherlands,SE,6,263
Denmark,EX,19,264
Australia,EX,12,265
Germany,EX,13,266
Canada,EX,17,267
Finland,EX,17,268
Sweden,EX,17,269
Denmark,EX,17,270
Sweden,SE,7,271
Australia,EX,15,272
Ireland,EX,18,273
Germany,EX,14,274
Denmark,EX,15,275
Sweden,MI,4,276
United States,SE,9,277
Singapore,SE,6,278
Finland,EX,18,279
Germany,EX,17,280
Switzerland,EX,10,281
Ireland,EX,15,282
Ireland,SE,6,283
India,EX,12,284
Denmark,EX,18,285
Netherlands,SE,9,286
Canada,SE,9,287
Australia,MI,2,288
Switzerland,EX,15,289
Netherlands,MI,4,290
Israel,EX,14,291
Australia,SE,7,292
Sweden,EX,16,293
China,SE,7,294
Israel,EX,17,295
Austria,SE,6,296
United States,EX,17,297
Australia,EX,11,298
United Kingdom,EX,10,299
South Korea,EX,14,300
China,SE,8,301
Switzerland,MI,4,302
South Korea,EX,18,303
China,EX,13,304
United Kingdom,EX,12,305
Sweden,EX,13,306
Finland,EX,11,307
Japan,EX,13,308
Switzerland,SE,5,309
Austria,EX,15,310
Denmark,SE,6,311
Sweden,EX,10,312
Switzerland,EX,16,313
South Korea,EX,17,314
China,EX,14,315
United Kingdom,SE,6,316
Ireland,EX,12,317
Sweden,EX,15,318
United States,EX,11,319
Norway,EX,16,320
Ireland,EX,14,321
China,SE,5,322
United Kingdom,EX,17,323
Israel,EX,10,324
Norway,SE,5,325
Australia,MI,4,326
Denmark,EX,13,327
Ireland,EX,10,328
India,EX,13,329
Denmark,SE,9,330
Israel,EX,11,331
United Kingdom,EX,19,332
Switzerland,SE,6,333
South Korea,MI,4,334
United Kingdom,EX,14,335
France,EX,16,336
France,EX,10,337
Germany,EX,16,338
Finland,EX,10,339
United States,EX,10,340
Norway,EX,14,341
Denmark,SE,7,342
Denmark,MI,3,343
Singapore,EX,12,344
Japan,EX,10,345
Germany,EX,19,346
Austria,MI,2,347
Australia,EX,16,348
Netherlands,EX,13,349
Singapore,EX,16,350
India,EX,14,351
Germany,SE,5,352
Ireland,EX,16,353
Netherlands,EX,16,354
Finland,SE,8,355
China,EX,16,356
Denmark,EX,14,357
Ireland,SE,9,358
Austria,EX,19,359
Austria,EX,18,360
South Korea,EX,12,361
Austria,EX,11,362
India,EX,18,363
Ireland,EX,19,364
Switzerland,EX,18,365
Israel,EX,13,366
India,EX,19,367
Switzerland,EX,17,368
United States,EX,14,369
Norway,EX,15,370
Singapore,EX,11,371
India,EX,10,372
Japan,EX,12,373
United Kingdom,SE,7,374
Norway,EX,13,375
Israel,SE,9,376
Norway,EX,17,377
Singapore,EX,13,378
Japan,EX,19,379
France,EX,19,380
Sweden,EX,18,381
Canada,EX,11,382
South Korea,EX,13,383
Sweden,EX,12,384
Austria,EX,10,385
Sweden,EX,14,386
South Korea,EX,16,387
France,EX,14,388
Switzerland,EX,11,389
Germany,EX,10,390
Finland,EX,14,391
Japan,EX,16,392
Netherlands,EX,11,393
Australia,EX,14,394
Australia,EX,17,395
United Kingdom,EX,18,396
India,EX,16,397
Netherlands,EX,18,398
China,EX,10,399
Denmark,EX,16,400
