"Occupation Title","Occupation Code","Occupation Type","2023 Employment","2023 Percent of Industry","2023 Percent of Occupation","Projected 2033 Employment","Projected 2033 Percent of Industry","Projected 2033 Percent of Occupation","Employment Change, 2023-2033","Employment Percent Change, 2023-2033","Occupation Sort","Display Level"
"Total, all occupations","=""00-0000""","Summary","1,660.1","100.0","1.0","1,735.1","100.0","1.0","75.0","4.5","","0"
"Management occupations","=""11-0000""","Summary","175.3","10.6","1.3","186.3","10.7","1.3","11.0","6.3","2","1"
"Top executives","=""11-1000""","Summary","58.4","3.5","1.5","61.5","3.5","1.5","3.0","5.2","3","2"
"Chief executives","=""11-1011""","Line Item","3.0","0.2","1.0","3.2","0.2","1.0","0.2","5.3","4","3"
"General and operations managers","=""11-1021""","Line Item","55.4","3.3","1.5","58.3","3.4","1.5","2.9","5.2","5","3"
"Advertising, marketing, promotions, public relations, and sales managers","=""11-2000""","Summary","11.2","0.7","1.0","11.8","0.7","1.0","0.6","5.1","7","2"
"Marketing and sales managers","=""11-2020""","Summary","10.7","0.6","1.1","11.3","0.7","1.1","0.6","5.2","9","3"
"Marketing managers","=""11-2021""","Line Item","5.8","0.3","1.5","6.1","0.4","1.4","0.3","5.0","10","4"
"Sales managers","=""11-2022""","Line Item","4.9","0.3","0.8","5.2","0.3","0.8","0.3","5.4","11","4"
"Public relations and fundraising managers","=""11-2030""","Summary","0.5","0.0","0.4","0.5","0.0","0.4","0.0","5.2","12","3"
"Public relations managers","=""11-2032""","Line Item","0.4","0.0","0.6","0.5","0.0","0.5","0.0","5.3","13","4"
"Operations specialties managers","=""11-3000""","Summary","27.9","1.7","1.1","30.7","1.8","1.0","2.8","9.9","15","2"
"Administrative services and facilities managers","=""11-3010""","Summary","4.2","0.3","1.1","4.4","0.3","1.1","0.2","5.3","16","3"
"Administrative services managers","=""11-3012""","Line Item","3.4","0.2","1.3","3.5","0.2","1.3","0.2","5.2","17","4"
"Facilities managers","=""11-3013""","Line Item","0.8","0.1","0.6","0.9","0.1","0.6","0.0","5.4","18","4"
"Computer and information systems managers","=""11-3021""","Line Item","8.2","0.5","1.3","9.2","0.5","1.3","1.0","12.8","19","3"
"Financial managers","=""11-3031""","Line Item","6.6","0.4","0.8","7.6","0.4","0.8","1.0","15.7","20","3"
"Industrial production managers","=""11-3051""","Line Item","3.2","0.2","1.4","3.4","0.2","1.4","0.2","5.4","21","3"
"Purchasing managers","=""11-3061""","Line Item","1.4","0.1","1.8","1.5","0.1","1.8","0.1","5.4","22","3"
"Transportation, storage, and distribution managers","=""11-3071""","Line Item","1.2","0.1","0.6","1.3","0.1","0.5","0.1","5.5","23","3"
"Compensation and benefits managers","=""11-3111""","Line Item","0.1","0.0","0.7","0.1","0.0","0.7","0.0","0.1","24","3"
"Human resources managers","=""11-3121""","Line Item","2.8","0.2","1.3","2.9","0.2","1.3","0.1","5.3","25","3"
"Training and development managers","=""11-3131""","Line Item","0.2","0.0","0.6","0.3","0.0","0.5","0.0","5.4","26","3"
"Other management occupations","=""11-9000""","Summary","77.7","4.7","1.4","82.3","4.7","1.4","4.6","5.9","27","2"
"Construction managers","=""11-9021""","Line Item","10.0","0.6","1.9","11.0","0.6","1.9","1.0","10.4","29","3"
"Education and childcare administrators","=""11-9030""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","4.8","30","3"
"Education administrators, all other","=""11-9039""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","4.8","34","4"
"Architectural and engineering managers","=""11-9041""","Line Item","54.9","3.3","26.1","57.7","3.3","26.0","2.8","5.1","35","3"
"Medical and health services managers","=""11-9111""","Line Item","0.2","0.0","0.0","0.3","0.0","0.0","0.1","26.4","41","3"
"Natural sciences managers","=""11-9121""","Line Item","3.3","0.2","3.3","3.5","0.2","3.3","0.2","5.4","42","3"
"Property, real estate, and community association managers","=""11-9141""","Line Item","0.3","0.0","0.1","0.3","0.0","0.1","0.0","5.4","44","3"
"Managers, all other","=""11-9199""","Line Item","8.8","0.5","0.7","9.3","0.5","0.7","0.5","5.2","50","3"
"Business and financial operations occupations","=""13-0000""","Summary","196.9","11.9","1.8","208.1","12.0","1.8","11.2","5.7","51","1"
"Business operations specialists","=""13-1000""","Summary","170.9","10.3","2.2","180.8","10.4","2.2","9.9","5.8","52","2"
"Buyers and purchasing agents","=""13-1020""","Line Item","6.9","0.4","1.3","7.7","0.4","1.4","0.7","10.7","54","3"
"Claims adjusters, appraisers, examiners, and investigators","=""13-1030""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","-5.3","55","3"
"Claims adjusters, examiners, and investigators","=""13-1031""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","-5.3","56","4"
"Compliance officers","=""13-1041""","Line Item","4.3","0.3","1.1","4.5","0.3","1.1","0.2","5.1","58","3"
"Cost estimators","=""13-1051""","Line Item","4.6","0.3","2.0","4.5","0.3","2.0","-0.1","-3.1","59","3"
"Human resources workers","=""13-1070""","Summary","12.6","0.8","1.3","13.3","0.8","1.2","0.7","5.3","60","3"
"Human resources specialists","=""13-1071""","Line Item","12.5","0.8","1.3","13.2","0.8","1.3","0.7","5.3","61","4"
"Labor relations specialists","=""13-1075""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","3.4","63","4"
"Logisticians and project management specialists","=""13-1080""","Summary","94.1","5.7","7.8","99.8","5.8","7.5","5.7","6.1","64","3"
"Logisticians","=""13-1081""","Line Item","7.5","0.4","3.1","8.8","0.5","3.1","1.4","18.2","65","4"
"Project management specialists","=""13-1082""","Line Item","86.6","5.2","8.9","91.0","5.2","8.7","4.4","5.0","66","4"
"Management analysts","=""13-1111""","Line Item","12.6","0.8","1.2","13.3","0.8","1.2","0.7","5.4","67","3"
"Meeting, convention, and event planners","=""13-1121""","Line Item","0.2","0.0","0.1","0.2","0.0","0.1","0.0","5.2","68","3"
"Fundraisers","=""13-1131""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","4.7","69","3"
"Compensation, benefits, and job analysis specialists","=""13-1141""","Line Item","0.5","0.0","0.5","0.6","0.0","0.5","0.0","5.4","70","3"
"Training and development specialists","=""13-1151""","Line Item","3.8","0.2","0.9","4.2","0.2","0.9","0.4","10.7","71","3"
"Market research analysts and marketing specialists","=""13-1161""","Line Item","14.5","0.9","1.6","15.2","0.9","1.5","0.7","4.9","72","3"
"Business operations specialists, all other","=""13-1199""","Line Item","16.6","1.0","1.4","17.5","1.0","1.4","0.9","5.3","73","3"
"Financial specialists","=""13-2000""","Summary","26.0","1.6","0.8","27.3","1.6","0.8","1.3","5.2","74","2"
"Accountants and auditors","=""13-2011""","Line Item","21.4","1.3","1.4","22.5","1.3","1.4","1.1","5.1","75","3"
"Property appraisers and assessors","=""13-2020""","Line Item","0.3","0.0","0.3","0.3","0.0","0.3","0.0","5.6","76","3"
"Budget analysts","=""13-2031""","Line Item","0.8","0.0","1.6","0.8","0.0","1.6","0.0","5.6","77","3"
"Credit analysts","=""13-2041""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","-5.0","78","3"
"Financial analysts and advisors","=""13-2050""","Summary","3.0","0.2","0.4","3.2","0.2","0.3","0.2","5.5","79","3"
"Financial and investment analysts","=""13-2051""","Line Item","2.9","0.2","0.8","3.0","0.2","0.8","0.2","5.5","80","4"
"Financial risk specialists","=""13-2054""","Line Item","0.1","0.0","0.2","0.1","0.0","0.2","0.0","5.5","83","4"
"Financial specialists, all other","=""13-2099""","Line Item","0.5","0.0","0.3","0.5","0.0","0.3","0.0","5.3","91","3"
"Computer and mathematical occupations","=""15-0000""","Summary","107.9","6.5","2.0","116.8","6.7","1.9","8.9","8.2","92","1"
"Computer occupations","=""15-1200""","Summary","101.5","6.1","2.0","108.6","6.3","1.9","7.1","7.0","93","2"
"Computer and information analysts","=""15-1210""","Summary","16.1","1.0","2.3","18.1","1.0","2.2","2.0","12.6","94","3"
"Computer systems analysts","=""15-1211""","Line Item","10.4","0.6","2.0","11.0","0.6","1.9","0.6","5.5","95","4"
"Information security analysts","=""15-1212""","Line Item","5.7","0.3","3.2","7.2","0.4","3.0","1.5","25.6","96","4"
"Computer and information research scientists","=""15-1221""","Line Item","0.7","0.0","2.0","0.9","0.1","1.9","0.2","21.4","97","3"
"Computer support specialists","=""15-1230""","Summary","10.8","0.6","1.2","10.8","0.6","1.1","0.0","0.3","98","3"
"Computer network support specialists","=""15-1231""","Line Item","2.1","0.1","1.3","2.2","0.1","1.2","0.1","5.3","99","4"
"Computer user support specialists","=""15-1232""","Line Item","8.7","0.5","1.2","8.6","0.5","1.1","-0.1","-1.0","100","4"
"Database and network administrators and architects","=""15-1240""","Summary","17.3","1.0","2.6","17.4","1.0","2.5","0.1","0.6","101","3"
"Computer network architects","=""15-1241""","Line Item","4.8","0.3","2.7","5.3","0.3","2.6","0.5","10.8","102","4"
"Database administrators","=""15-1242""","Line Item","1.4","0.1","1.7","1.5","0.1","1.7","0.1","5.5","103","4"
"Database architects","=""15-1243""","Line Item","0.8","0.0","1.3","0.8","0.0","1.2","0.0","5.5","104","4"
"Network and computer systems administrators","=""15-1244""","Line Item","10.3","0.6","3.1","9.8","0.6","3.0","-0.5","-5.1","105","4"
"Software and web developers, programmers, and testers","=""15-1250""","Summary","46.8","2.8","2.1","51.1","2.9","2.0","4.3","9.1","106","3"
"Computer programmers","=""15-1251""","Line Item","1.7","0.1","1.2","1.5","0.1","1.2","-0.2","-13.5","107","4"
"Software developers","=""15-1252""","Line Item","38.5","2.3","2.3","42.7","2.5","2.1","4.2","10.8","108","4"
"Software quality assurance analysts and testers","=""15-1253""","Line Item","4.8","0.3","2.3","5.0","0.3","2.2","0.3","5.5","109","4"
"Web developers","=""15-1254""","Line Item","0.5","0.0","0.5","0.5","0.0","0.5","0.0","5.5","110","4"
"Web and digital interface designers","=""15-1255""","Line Item","1.3","0.1","1.0","1.3","0.1","1.0","0.1","5.1","111","4"
"Computer occupations, all other","=""15-1299""","Line Item","9.8","0.6","2.1","10.3","0.6","2.0","0.5","5.5","112","3"
"Mathematical science occupations","=""15-2000""","Summary","6.5","0.4","1.6","8.2","0.5","1.6","1.8","27.2","113","2"
"Mathematicians","=""15-2021""","Line Item","0.1","0.0","3.1","0.1","0.0","3.2","0.0","5.4","115","3"
"Operations research analysts","=""15-2031""","Line Item","1.8","0.1","1.5","2.2","0.1","1.5","0.4","21.4","116","3"
"Statisticians","=""15-2041""","Line Item","0.3","0.0","1.0","0.4","0.0","1.0","0.0","10.7","117","3"
"Data scientists","=""15-2051""","Line Item","4.1","0.2","2.0","5.5","0.3","2.0","1.3","31.8","118","3"
"Architecture and engineering occupations","=""17-0000""","Summary","734.4","44.2","27.8","771.2","44.4","27.3","36.8","5.0","120","1"
"Architects, surveyors, and cartographers","=""17-1000""","Summary","147.8","8.9","68.0","158.5","9.1","68.2","10.7","7.2","121","2"
"Architects, except naval","=""17-1010""","Summary","107.1","6.4","70.5","115.4","6.7","70.8","8.3","7.8","122","3"
"Architects, except landscape and naval","=""17-1011""","Line Item","95.8","5.8","75.3","103.7","6.0","75.6","7.9","8.3","123","4"
"Landscape architects","=""17-1012""","Line Item","11.2","0.7","45.6","11.7","0.7","45.1","0.4","3.7","124","4"
"Surveyors, cartographers, and photogrammetrists","=""17-1020""","Summary","40.7","2.5","62.2","43.1","2.5","62.0","2.3","5.7","125","3"
"Cartographers and photogrammetrists","=""17-1021""","Line Item","2.3","0.1","17.8","2.4","0.1","17.8","0.1","5.7","126","4"
"Surveyors","=""17-1022""","Line Item","38.4","2.3","73.0","40.6","2.3","72.9","2.2","5.7","127","4"
"Engineers","=""17-2000""","Summary","369.2","22.2","21.0","391.5","22.6","20.5","22.3","6.0","128","2"
"Aerospace engineers","=""17-2011""","Line Item","10.2","0.6","14.8","10.8","0.6","14.8","0.6","5.5","129","3"
"Agricultural engineers","=""17-2021""","Line Item","0.1","0.0","4.5","0.1","0.0","4.4","0.0","5.5","130","3"
"Bioengineers and biomedical engineers","=""17-2031""","Line Item","0.8","0.0","4.0","0.8","0.0","3.9","0.0","5.5","131","3"
"Chemical engineers","=""17-2041""","Line Item","3.1","0.2","14.4","3.3","0.2","13.9","0.2","5.5","132","3"
"Civil engineers","=""17-2051""","Line Item","176.3","10.6","51.6","186.0","10.7","51.1","9.7","5.5","133","3"
"Computer hardware engineers","=""17-2061""","Line Item","5.3","0.3","6.3","5.6","0.3","6.2","0.3","5.5","134","3"
"Electrical and electronics engineers","=""17-2070""","Summary","48.6","2.9","16.9","52.5","3.0","16.7","3.9","8.1","135","3"
"Electrical engineers","=""17-2071""","Line Item","40.4","2.4","21.4","43.9","2.5","21.3","3.5","8.6","136","4"
"Electronics engineers, except computer","=""17-2072""","Line Item","8.2","0.5","8.3","8.6","0.5","8.0","0.5","5.5","137","4"
"Environmental engineers","=""17-2081""","Line Item","10.9","0.7","26.5","11.5","0.7","26.1","0.6","5.6","138","3"
"Industrial engineers, including health and safety","=""17-2110""","Summary","26.5","1.6","7.4","28.3","1.6","7.0","1.7","6.5","139","3"
"Health and safety engineers, except mining safety engineers and inspectors","=""17-2111""","Line Item","3.0","0.2","13.1","3.2","0.2","13.1","0.2","5.5","140","4"
"Industrial engineers","=""17-2112""","Line Item","23.5","1.4","7.0","25.1","1.4","6.6","1.6","6.6","141","4"
"Marine engineers and naval architects","=""17-2121""","Line Item","2.0","0.1","19.9","2.1","0.1","19.4","0.1","5.4","142","3"
"Materials engineers","=""17-2131""","Line Item","3.4","0.2","13.6","3.6","0.2","13.3","0.2","5.4","143","3"
"Mechanical engineers","=""17-2141""","Line Item","59.2","3.6","20.3","62.9","3.6","19.4","3.7","6.3","144","3"
"Mining and geological engineers, including mining safety engineers","=""17-2151""","Line Item","2.6","0.2","35.9","2.7","0.2","37.1","0.1","5.5","145","3"
"Nuclear engineers","=""17-2161""","Line Item","1.4","0.1","10.1","1.4","0.1","10.8","0.1","5.5","146","3"
"Petroleum engineers","=""17-2171""","Line Item","1.7","0.1","8.0","1.7","0.1","8.2","0.1","5.5","147","3"
"Engineers, all other","=""17-2199""","Line Item","17.1","1.0","10.6","18.0","1.0","10.7","0.9","5.5","148","3"
"Drafters, engineering technicians, and mapping technicians","=""17-3000""","Summary","217.4","13.1","32.6","221.3","12.8","32.5","3.9","1.8","149","2"
"Drafters","=""17-3010""","Summary","100.6","6.1","49.2","99.7","5.7","49.1","-0.9","-0.9","150","3"
"Architectural and civil drafters","=""17-3011""","Line Item","80.6","4.9","71.8","80.4","4.6","70.8","-0.2","-0.3","151","4"
"Electrical and electronics drafters","=""17-3012""","Line Item","6.4","0.4","27.7","6.5","0.4","26.7","0.0","0.5","152","4"
"Mechanical drafters","=""17-3013""","Line Item","9.8","0.6","19.4","9.3","0.5","19.3","-0.5","-5.1","153","4"
"Drafters, all other","=""17-3019""","Line Item","3.8","0.2","20.6","3.6","0.2","20.7","-0.2","-5.3","154","4"
"Engineering technologists and technicians, except drafters","=""17-3020""","Summary","82.0","4.9","20.3","84.7","4.9","20.3","2.7","3.3","155","3"
"Aerospace engineering and operations technologists and technicians","=""17-3021""","Line Item","2.7","0.2","24.6","3.1","0.2","26.5","0.4","16.0","156","4"
"Civil engineering technologists and technicians","=""17-3022""","Line Item","31.2","1.9","47.3","31.3","1.8","46.6","0.1","0.2","157","4"
"Electrical and electronic engineering technologists and technicians","=""17-3023""","Line Item","12.5","0.8","12.6","13.2","0.8","12.9","0.7","5.5","158","4"
"Electro-mechanical and mechatronics technologists and technicians","=""17-3024""","Line Item","1.9","0.1","12.4","1.9","0.1","12.3","0.0","-1.9","159","4"
"Environmental engineering technologists and technicians","=""17-3025""","Line Item","5.7","0.3","40.3","5.8","0.3","39.9","0.1","1.3","160","4"
"Industrial engineering technologists and technicians","=""17-3026""","Line Item","4.8","0.3","6.4","5.1","0.3","6.5","0.3","5.5","161","4"
"Mechanical engineering technologists and technicians","=""17-3027""","Line Item","7.8","0.5","19.5","8.2","0.5","20.2","0.4","5.4","162","4"
"Calibration technologists and technicians","=""17-3028""","Line Item","3.4","0.2","24.5","3.6","0.2","24.4","0.2","5.3","163","4"
"Engineering technologists and technicians, except drafters, all other","=""17-3029""","Line Item","11.9","0.7","17.1","12.5","0.7","17.3","0.6","5.4","164","4"
"Surveying and mapping technicians","=""17-3031""","Line Item","34.8","2.1","60.7","36.8","2.1","60.8","2.0","5.8","165","3"
"Life, physical, and social science occupations","=""19-0000""","Summary","82.9","5.0","5.3","87.8","5.1","5.2","4.9","5.9","166","1"
"Life scientists","=""19-1000""","Summary","8.7","0.5","2.2","9.2","0.5","2.2","0.5","5.3","167","2"
"Agricultural and food scientists","=""19-1010""","Summary","2.0","0.1","5.4","2.1","0.1","5.3","0.1","5.3","168","3"
"Food scientists and technologists","=""19-1012""","Line Item","1.2","0.1","8.6","1.3","0.1","8.3","0.1","5.3","170","4"
"Soil and plant scientists","=""19-1013""","Line Item","0.7","0.0","3.7","0.8","0.0","3.6","0.0","5.4","171","4"
"Biological scientists","=""19-1020""","Summary","5.1","0.3","3.5","5.3","0.3","3.5","0.3","5.3","172","3"
"Biochemists and biophysicists","=""19-1021""","Line Item","1.0","0.1","2.9","1.1","0.1","2.8","0.1","5.3","173","4"
"Microbiologists","=""19-1022""","Line Item","1.9","0.1","8.4","2.0","0.1","8.3","0.1","5.3","174","4"
"Zoologists and wildlife biologists","=""19-1023""","Line Item","0.4","0.0","1.9","0.4","0.0","2.0","0.0","5.5","175","4"
"Biological scientists, all other","=""19-1029""","Line Item","1.7","0.1","2.6","1.8","0.1","2.6","0.1","5.3","176","4"
"Conservation scientists and foresters","=""19-1030""","Summary","0.5","0.0","1.2","0.5","0.0","1.3","0.0","5.5","177","3"
"Conservation scientists","=""19-1031""","Line Item","0.5","0.0","2.0","0.5","0.0","2.0","0.0","5.5","178","4"
"Medical scientists","=""19-1040""","Summary","1.0","0.1","0.6","1.0","0.1","0.6","0.1","5.3","180","3"
"Medical scientists, except epidemiologists","=""19-1042""","Line Item","1.0","0.1","0.7","1.0","0.1","0.6","0.1","5.3","182","4"
"Life scientists, all other","=""19-1099""","Line Item","0.2","0.0","2.1","0.2","0.0","2.0","0.0","5.3","183","3"
"Physical scientists","=""19-2000""","Summary","32.3","1.9","11.5","34.1","2.0","11.4","1.9","5.8","184","2"
"Astronomers and physicists","=""19-2010""","Summary","0.7","0.0","2.8","0.7","0.0","2.8","0.0","5.5","185","3"
"Physicists","=""19-2012""","Line Item","0.7","0.0","3.1","0.7","0.0","3.1","0.0","5.5","187","4"
"Atmospheric and space scientists","=""19-2021""","Line Item","0.2","0.0","1.9","0.2","0.0","1.9","0.0","5.4","188","3"
"Chemists and materials scientists","=""19-2030""","Summary","9.4","0.6","9.8","9.9","0.6","9.6","0.5","5.3","189","3"
"Chemists","=""19-2031""","Line Item","8.9","0.5","10.2","9.3","0.5","9.9","0.5","5.3","190","4"
"Materials scientists","=""19-2032""","Line Item","0.6","0.0","6.1","0.6","0.0","5.9","0.0","5.3","191","4"
"Environmental scientists and geoscientists","=""19-2040""","Summary","21.3","1.3","18.2","22.6","1.3","18.1","1.3","6.1","192","3"
"Environmental scientists and specialists, including health","=""19-2041""","Line Item","11.6","0.7","13.8","12.4","0.7","13.7","0.8","6.5","193","4"
"Geoscientists, except hydrologists and geographers","=""19-2042""","Line Item","8.6","0.5","33.2","9.1","0.5","33.3","0.5","5.6","194","4"
"Hydrologists","=""19-2043""","Line Item","1.0","0.1","15.2","1.0","0.1","15.6","0.1","5.5","195","4"
"Physical scientists, all other","=""19-2099""","Line Item","0.7","0.0","2.1","0.8","0.0","2.2","0.0","5.5","196","3"
"Social scientists and related workers","=""19-3000""","Summary","5.6","0.3","1.6","5.8","0.3","1.6","0.3","4.8","197","2"
"Economists","=""19-3011""","Line Item","0.3","0.0","1.6","0.3","0.0","1.6","0.0","5.5","198","3"
