"Occupation Title","Occupation Code","Occupation Type","2023 Employment","2023 Percent of Industry","2023 Percent of Occupation","Projected 2033 Employment","Projected 2033 Percent of Industry","Projected 2033 Percent of Occupation","Employment Change, 2023-2033","Employment Percent Change, 2023-2033","Occupation Sort","Display Level"
"Office and administrative support workers, all other","=""43-9199""","Line Item","1.1","0.1","0.5","1.0","0.1","0.5","-0.1","-7.6","741","3"
"Farming, fishing, and forestry occupations","=""45-0000""","Summary","0.4","0.0","0.0","0.4","0.0","0.0","0.0","-1.0","742","1"
"Agricultural workers","=""45-2000""","Summary","0.3","0.0","0.0","0.3","0.0","0.0","0.0","0.6","745","2"
"Agricultural inspectors","=""45-2011""","Line Item","0.1","0.0","0.6","0.1","0.0","0.6","0.0","5.3","746","3"
"Graders and sorters, agricultural products","=""45-2041""","Line Item","0.1","0.0","0.3","0.1","0.0","0.3","0.0","-5.3","748","3"
"Miscellaneous agricultural workers","=""45-2090""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","2.6","749","3"
"Agricultural workers, all other","=""45-2099""","Line Item","0.1","0.0","0.6","0.1","0.0","0.6","0.0","5.5","753","4"
"Construction and extraction occupations","=""47-0000""","Summary","68.5","4.1","0.9","70.0","4.0","0.9","1.5","2.3","763","1"
"Supervisors of construction and extraction workers","=""47-1000""","Summary","7.0","0.4","0.8","7.4","0.4","0.8","0.4","5.3","764","2"
"First-line supervisors of construction trades and extraction workers","=""47-1011""","Line Item","7.0","0.4","0.8","7.4","0.4","0.8","0.4","5.3","765","3"
"Construction trades workers","=""47-2000""","Summary","16.2","1.0","0.3","17.0","1.0","0.3","0.8","4.8","766","2"
"Boilermakers","=""47-2011""","Line Item","0.3","0.0","2.5","0.3","0.0","2.7","0.0","5.5","767","3"
"Carpenters","=""47-2031""","Line Item","0.9","0.1","0.1","1.0","0.1","0.1","0.0","4.6","771","3"
"Cement masons, concrete finishers, and terrazzo workers","=""47-2050""","Summary","0.7","0.0","0.3","0.7","0.0","0.3","0.0","-6.2","777","3"
"Cement masons and concrete finishers","=""47-2051""","Line Item","0.7","0.0","0.3","0.7","0.0","0.3","0.0","-6.2","778","4"
"Construction laborers","=""47-2061""","Line Item","6.1","0.4","0.4","6.4","0.4","0.4","0.3","5.1","780","3"
"Construction equipment operators","=""47-2070""","Summary","1.6","0.1","0.3","1.7","0.1","0.3","0.1","5.5","781","3"
"Operating engineers and other construction equipment operators","=""47-2073""","Line Item","1.5","0.1","0.3","1.6","0.1","0.3","0.1","5.5","784","4"
"Electricians","=""47-2111""","Line Item","4.1","0.2","0.5","4.3","0.2","0.5","0.2","5.5","788","3"
"Insulation workers","=""47-2130""","Summary","0.1","0.0","0.2","0.1","0.0","0.2","0.0","5.9","790","3"
"Insulation workers, mechanical","=""47-2132""","Line Item","0.1","0.0","0.3","0.1","0.0","0.3","0.0","5.8","792","4"
"Painters and paperhangers","=""47-2140""","Summary","0.3","0.0","0.1","0.3","0.0","0.1","0.0","5.4","793","3"
"Painters, construction and maintenance","=""47-2141""","Line Item","0.3","0.0","0.1","0.3","0.0","0.1","0.0","5.4","794","4"
"Pipelayers, plumbers, pipefitters, and steamfitters","=""47-2150""","Summary","1.5","0.1","0.3","1.6","0.1","0.3","0.1","5.5","796","3"
"Plumbers, pipefitters, and steamfitters","=""47-2152""","Line Item","1.2","0.1","0.3","1.3","0.1","0.3","0.1","5.5","798","4"
"Structural iron and steel workers","=""47-2221""","Line Item","0.1","0.0","0.2","0.2","0.0","0.2","0.0","5.6","803","3"
"Solar photovoltaic installers","=""47-2231""","Line Item","0.1","0.0","0.4","0.1","0.0","0.3","0.0","5.5","804","3"
"Helpers, construction trades","=""47-3000""","Summary","0.8","0.1","0.4","0.9","0.1","0.4","0.0","5.6","805","2"
"Helpers--electricians","=""47-3013""","Line Item","0.5","0.0","0.8","0.6","0.0","0.8","0.0","5.5","808","3"
"Other construction and related workers","=""47-4000""","Summary","42.2","2.5","8.8","42.4","2.4","8.6","0.2","0.5","813","2"
"Construction and building inspectors","=""47-4011""","Line Item","40.8","2.5","28.6","41.0","2.4","28.7","0.1","0.4","814","3"
"Hazardous materials removal workers","=""47-4041""","Line Item","0.9","0.1","1.8","0.9","0.1","1.8","0.0","5.5","817","3"
"Miscellaneous construction and related workers","=""47-4090""","Line Item","0.2","0.0","0.7","0.2","0.0","0.7","0.0","5.6","821","3"
"Extraction workers","=""47-5000""","Summary","2.3","0.1","1.0","2.4","0.1","1.1","0.1","5.5","822","2"
"Derrick, rotary drill, and service unit operators, oil and gas","=""47-5010""","Summary","0.4","0.0","0.5","0.4","0.0","0.5","0.0","5.6","823","3"
"Rotary drill operators, oil and gas","=""47-5012""","Line Item","0.2","0.0","1.5","0.2","0.0","1.5","0.0","5.5","825","4"
"Service unit operators, oil and gas","=""47-5013""","Line Item","0.1","0.0","0.3","0.1","0.0","0.3","0.0","5.7","826","4"
"Surface mining machine operators and earth drillers","=""47-5020""","Summary","1.4","0.1","2.7","1.5","0.1","2.8","0.1","5.4","827","3"
"Earth drillers, except oil and gas","=""47-5023""","Line Item","1.2","0.1","6.2","1.2","0.1","6.3","0.1","5.4","829","4"
"Explosives workers, ordnance handling experts, and blasters","=""47-5032""","Line Item","0.1","0.0","2.2","0.1","0.0","2.3","0.0","5.5","830","3"
"Roustabouts, oil and gas","=""47-5071""","Line Item","0.1","0.0","0.2","0.1","0.0","0.2","0.0","5.5","837","3"
"Helpers--extraction workers","=""47-5081""","Line Item","0.3","0.0","3.5","0.3","0.0","3.7","0.0","5.4","838","3"
"Installation, maintenance, and repair occupations","=""49-0000""","Summary","22.5","1.4","0.3","23.7","1.4","0.3","1.2","5.2","840","1"
"Supervisors of installation, maintenance, and repair workers","=""49-1000""","Summary","1.9","0.1","0.3","2.0","0.1","0.3","0.1","5.5","841","2"
"First-line supervisors of mechanics, installers, and repairers","=""49-1011""","Line Item","1.9","0.1","0.3","2.0","0.1","0.3","0.1","5.5","842","3"
"Electrical and electronic equipment mechanics, installers, and repairers","=""49-2000""","Summary","5.2","0.3","1.0","5.4","0.3","1.0","0.2","4.6","843","2"
"Radio and telecommunications equipment installers and repairers","=""49-2020""","Summary","1.0","0.1","0.6","1.1","0.1","0.6","0.1","5.5","845","3"
"Radio, cellular, and tower equipment installers and repairers","=""49-2021""","Line Item","0.5","0.0","3.8","0.5","0.0","3.7","0.0","5.5","846","4"
"Telecommunications equipment installers and repairers, except line installers","=""49-2022""","Line Item","0.6","0.0","0.3","0.6","0.0","0.4","0.0","5.5","847","4"
"Miscellaneous electrical and electronic equipment mechanics, installers, and repairers","=""49-2090""","Summary","4.1","0.2","1.6","4.3","0.2","1.6","0.2","4.3","848","3"
"Avionics technicians","=""49-2091""","Line Item","1.3","0.1","6.1","1.4","0.1","6.0","0.1","5.5","849","4"
"Electrical and electronics repairers, commercial and industrial equipment","=""49-2094""","Line Item","1.5","0.1","2.6","1.6","0.1","2.6","0.0","2.4","852","4"
"Electrical and electronics repairers, powerhouse, substation, and relay","=""49-2095""","Line Item","1.1","0.1","4.3","1.1","0.1","4.5","0.1","5.5","853","4"
"Vehicle and mobile equipment mechanics, installers, and repairers","=""49-3000""","Summary","3.2","0.2","0.2","3.4","0.2","0.2","0.2","5.5","857","2"
"Aircraft mechanics and service technicians","=""49-3011""","Line Item","1.5","0.1","1.1","1.6","0.1","1.1","0.1","5.5","858","3"
"Automotive technicians and repairers","=""49-3020""","Summary","0.7","0.0","0.1","0.8","0.0","0.1","0.0","5.5","859","3"
"Automotive service technicians and mechanics","=""49-3023""","Line Item","0.7","0.0","0.1","0.7","0.0","0.1","0.0","5.5","862","4"
"Bus and truck mechanics and diesel engine specialists","=""49-3031""","Line Item","0.2","0.0","0.1","0.2","0.0","0.1","0.0","5.5","863","3"
"Heavy vehicle and mobile equipment service technicians and mechanics","=""49-3040""","Summary","0.5","0.0","0.2","0.6","0.0","0.2","0.0","5.5","864","3"
"Mobile heavy equipment mechanics, except engines","=""49-3042""","Line Item","0.5","0.0","0.3","0.6","0.0","0.3","0.0","5.5","866","4"
"Other installation, maintenance, and repair occupations","=""49-9000""","Summary","12.2","0.7","0.4","12.8","0.7","0.3","0.7","5.4","876","2"
"Heating, air conditioning, and refrigeration mechanics and installers","=""49-9021""","Line Item","1.2","0.1","0.3","1.2","0.1","0.3","0.1","5.5","880","3"
"Industrial machinery installation, repair, and maintenance workers","=""49-9040""","Summary","2.9","0.2","0.5","3.0","0.2","0.5","0.2","5.5","882","3"
"Industrial machinery mechanics","=""49-9041""","Line Item","2.2","0.1","0.5","2.3","0.1","0.5","0.1","5.5","883","4"
"Maintenance workers, machinery","=""49-9043""","Line Item","0.4","0.0","0.6","0.4","0.0","0.6","0.0","5.5","884","4"
"Millwrights","=""49-9044""","Line Item","0.3","0.0","0.8","0.4","0.0","0.8","0.0","5.5","885","4"
"Line installers and repairers","=""49-9050""","Summary","1.2","0.1","0.5","1.2","0.1","0.5","0.1","5.6","887","3"
"Telecommunications line installers and repairers","=""49-9052""","Line Item","0.8","0.0","0.8","0.9","0.1","0.9","0.0","5.5","889","4"
"Precision instrument and equipment repairers","=""49-9060""","Summary","0.5","0.0","0.6","0.5","0.0","0.5","0.0","5.4","890","3"
"Precision instrument and equipment repairers, all other","=""49-9069""","Line Item","0.4","0.0","3.6","0.4","0.0","3.6","0.0","5.4","895","4"
"Maintenance and repair workers, general","=""49-9071""","Line Item","4.0","0.2","0.2","4.2","0.2","0.2","0.2","5.3","896","3"
"Wind turbine service technicians","=""49-9081""","Line Item","0.1","0.0","0.6","0.1","0.0","0.4","0.0","5.4","897","3"
"Miscellaneous installation, maintenance, and repair workers","=""49-9090""","Summary","2.3","0.1","0.6","2.4","0.1","0.6","0.1","5.3","898","3"
"Commercial divers","=""49-9092""","Line Item","0.1","0.0","1.7","0.1","0.0","1.6","0.0","5.6","900","4"
"Helpers--installation, maintenance, and repair workers","=""49-9098""","Line Item","0.5","0.0","0.5","0.6","0.0","0.5","0.0","5.5","905","4"
"Installation, maintenance, and repair workers, all other","=""49-9099""","Line Item","1.4","0.1","0.7","1.5","0.1","0.7","0.1","5.3","906","4"
"Production occupations","=""51-0000""","Summary","59.4","3.6","0.7","60.9","3.5","0.7","1.5","2.5","907","1"
"Supervisors of production workers","=""51-1000""","Summary","4.8","0.3","0.7","5.0","0.3","0.7","0.3","5.4","908","2"
"First-line supervisors of production and operating workers","=""51-1011""","Line Item","4.8","0.3","0.7","5.0","0.3","0.7","0.3","5.4","909","3"
"Assemblers and fabricators","=""51-2000""","Summary","10.7","0.6","0.5","11.0","0.6","0.6","0.3","2.7","910","2"
"Aircraft structure, surfaces, rigging, and systems assemblers","=""51-2011""","Line Item","0.5","0.0","1.6","0.4","0.0","1.6","-0.1","-15.6","911","3"
"Electrical, electronics, and electromechanical assemblers","=""51-2020""","Summary","5.3","0.3","1.9","5.6","0.3","1.9","0.3","5.5","912","3"
"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers","=""51-2028""","Line Item","5.3","0.3","2.0","5.6","0.3","1.9","0.3","5.5","914","4"
"Engine and other machine assemblers","=""51-2031""","Line Item","0.9","0.1","1.8","0.8","0.0","2.1","0.0","-5.0","915","3"
"Structural metal fabricators and fitters","=""51-2041""","Line Item","0.3","0.0","0.5","0.2","0.0","0.5","0.0","-15.5","916","3"
"Miscellaneous assemblers and fabricators","=""51-2090""","Line Item","3.7","0.2","0.2","3.8","0.2","0.3","0.2","4.3","919","3"
"Metal workers and plastic workers","=""51-4000""","Summary","7.6","0.5","0.5","7.9","0.5","0.5","0.2","3.2","931","2"
"Machine tool cutting setters, operators, and tenders, metal and plastic","=""51-4030""","Summary","0.7","0.0","0.2","0.6","0.0","0.2","-0.1","-7.7","936","3"
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic","=""51-4031""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","-5.1","937","4"
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic","=""51-4032""","Line Item","0.1","0.0","2.4","0.1","0.0","2.5","0.0","-15.7","938","4"
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic","=""51-4033""","Line Item","0.4","0.0","0.5","0.3","0.0","0.5","0.0","-5.0","939","4"
"Machinists","=""51-4041""","Line Item","2.8","0.2","1.0","3.0","0.2","1.0","0.2","5.5","942","3"
"Model makers and patternmakers, metal and plastic","=""51-4060""","Summary","0.3","0.0","5.0","0.2","0.0","5.3","0.0","-15.6","946","3"
"Model makers, metal and plastic","=""51-4061""","Line Item","0.3","0.0","8.8","0.2","0.0","9.1","0.0","-15.6","947","4"
"Molders and molding machine setters, operators, and tenders, metal and plastic","=""51-4070""","Summary","0.3","0.0","0.2","0.3","0.0","0.2","0.0","0.0","949","3"
"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic","=""51-4072""","Line Item","0.3","0.0","0.2","0.3","0.0","0.2","0.0","0.3","951","4"
"Multiple machine tool setters, operators, and tenders, metal and plastic","=""51-4081""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","5.5","952","3"
"Tool and die makers","=""51-4111""","Line Item","0.4","0.0","0.6","0.4","0.0","0.7","0.0","5.5","953","3"
"Welding, soldering, and brazing workers","=""51-4120""","Summary","3.1","0.2","0.6","3.2","0.2","0.7","0.2","4.9","954","3"
"Welders, cutters, solderers, and brazers","=""51-4121""","Line Item","2.9","0.2","0.6","3.1","0.2","0.7","0.2","5.6","955","4"
"Printing workers","=""51-5100""","Summary","0.2","0.0","0.1","0.2","0.0","0.1","0.0","5.7","963","2"
"Printing press operators","=""51-5112""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","5.5","965","3"
"Woodworkers","=""51-7000""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","3.6","987","2"
"Plant and system operators","=""51-8000""","Summary","1.6","0.1","0.6","1.6","0.1","0.6","0.0","-0.8","997","2"
"Power plant operators, distributors, and dispatchers","=""51-8010""","Summary","0.3","0.0","0.7","0.3","0.0","0.8","0.0","0.3","998","3"
"Power plant operators","=""51-8013""","Line Item","0.3","0.0","1.0","0.3","0.0","1.1","0.0","0.2","1001","4"
"Stationary engineers and boiler operators","=""51-8021""","Line Item","0.2","0.0","0.5","0.2","0.0","0.5","0.0","5.5","1002","3"
"Water and wastewater treatment plant and system operators","=""51-8031""","Line Item","0.8","0.0","0.6","0.8","0.0","0.7","0.0","-5.0","1003","3"
"Miscellaneous plant and system operators","=""51-8090""","Summary","0.3","0.0","0.4","0.3","0.0","0.4","0.0","5.5","1004","3"
"Plant and system operators, all other","=""51-8099""","Line Item","0.2","0.0","1.6","0.3","0.0","1.6","0.0","5.5","1008","4"
"Other production occupations","=""51-9000""","Summary","34.4","2.1","1.3","35.1","2.0","1.3","0.7","2.0","1009","2"
"Chemical processing machine setters, operators, and tenders","=""51-9010""","Summary","0.2","0.0","0.1","0.2","0.0","0.1","0.0","5.3","1010","3"
"Chemical equipment operators and tenders","=""51-9011""","Line Item","0.2","0.0","0.1","0.2","0.0","0.2","0.0","5.3","1011","4"
"Crushing, grinding, polishing, mixing, and blending workers","=""51-9020""","Summary","0.2","0.0","0.1","0.2","0.0","0.1","0.0","3.3","1013","3"
"Crushing, grinding, and polishing machine setters, operators, and tenders","=""51-9021""","Line Item","0.1","0.0","0.3","0.1","0.0","0.3","0.0","0.2","1014","4"
"Mixing and blending machine setters, operators, and tenders","=""51-9023""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","5.5","1016","4"
"Inspectors, testers, sorters, samplers, and weighers","=""51-9061""","Line Item","30.4","1.8","5.1","30.9","1.8","5.4","0.5","1.8","1022","3"
"Packaging and filling machine operators and tenders","=""51-9111""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","5.4","1028","3"
"Painting workers","=""51-9120""","Summary","0.6","0.0","0.3","0.6","0.0","0.3","0.0","5.5","1029","3"
"Coating, painting, and spraying machine setters, operators, and tenders","=""51-9124""","Line Item","0.5","0.0","0.3","0.6","0.0","0.3","0.0","5.5","1031","4"
"Computer numerically controlled tool operators and programmers","=""51-9160""","Summary","0.9","0.1","0.4","0.9","0.1","0.4","0.0","5.5","1034","3"
"Computer numerically controlled tool operators","=""51-9161""","Line Item","0.5","0.0","0.3","0.5","0.0","0.3","0.0","-5.0","1035","4"
"Computer numerically controlled tool programmers","=""51-9162""","Line Item","0.4","0.0","1.3","0.4","0.0","1.4","0.1","19.3","1036","4"
"Miscellaneous production workers","=""51-9190""","Summary","1.5","0.1","0.2","1.5","0.1","0.2","0.0","1.5","1037","3"
"Helpers--production workers","=""51-9198""","Line Item","0.6","0.0","0.3","0.5","0.0","0.3","0.0","-5.1","1045","4"
"Production workers, all other","=""51-9199""","Line Item","0.5","0.0","0.2","0.5","0.0","0.2","0.0","5.5","1046","4"
"Transportation and material moving occupations","=""53-0000""","Summary","11.2","0.7","0.1","11.8","0.7","0.1","0.6","5.1","1047","1"
"Supervisors of transportation and material moving workers","=""53-1000""","Summary","0.7","0.0","0.1","0.8","0.0","0.1","0.0","5.5","1048","2"
"First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors","=""53-1047""","Line Item","0.7","0.0","0.1","0.8","0.0","0.1","0.0","5.5","1050","3"
"Air transportation workers","=""53-2000""","Summary","0.6","0.0","0.2","0.7","0.0","0.2","0.0","5.6","1051","2"
"Aircraft pilots and flight engineers","=""53-2010""","Summary","0.5","0.0","0.3","0.6","0.0","0.3","0.0","5.6","1052","3"
"Commercial pilots","=""53-2012""","Line Item","0.5","0.0","0.9","0.6","0.0","0.9","0.0","5.6","1054","4"
"Motor vehicle operators","=""53-3000""","Summary","3.3","0.2","0.1","3.4","0.2","0.1","0.2","5.3","1059","2"
"Driver/sales workers and truck drivers","=""53-3030""","Summary","2.2","0.1","0.1","2.3","0.1","0.1","0.1","5.3","1061","3"
"Heavy and tractor-trailer truck drivers","=""53-3032""","Line Item","0.9","0.1","0.0","0.9","0.1","0.0","0.0","5.4","1063","4"
"Light truck drivers","=""53-3033""","Line Item","1.3","0.1","0.1","1.4","0.1","0.1","0.1","5.2","1064","4"
"Passenger vehicle drivers","=""53-3050""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","5.6","1065","3"
"Motor vehicle operators, all other","=""53-3099""","Line Item","1.0","0.1","1.2","1.1","0.1","1.2","0.1","5.3","1070","3"
"Water transportation workers","=""53-5000""","Summary","0.4","0.0","0.4","0.4","0.0","0.4","0.0","5.7","1079","2"
"Ship and boat captains and operators","=""53-5020""","Summary","0.2","0.0","0.4","0.2","0.0","0.4","0.0","5.6","1081","3"
"Captains, mates, and pilots of water vessels","=""53-5021""","Line Item","0.2","0.0","0.4","0.2","0.0","0.4","0.0","5.6","1082","4"
"Other transportation workers","=""53-6000""","Summary","1.0","0.1","0.3","1.1","0.1","0.3","0.1","5.5","1085","2"
"Traffic technicians","=""53-6041""","Line Item","0.4","0.0","5.2","0.4","0.0","5.2","0.0","5.6","1091","3"
"Transportation inspectors","=""53-6051""","Line Item","0.6","0.0","1.9","0.6","0.0","1.9","0.0","5.5","1092","3"
"Material moving workers","=""53-7000""","Summary","5.2","0.3","0.1","5.5","0.3","0.1","0.2","4.6","1095","2"
"Industrial truck and tractor operators","=""53-7051""","Line Item","0.5","0.0","0.1","0.5","0.0","0.1","0.0","5.5","1100","3"
"Laborers and material movers","=""53-7060""","Summary","4.7","0.3","0.1","4.9","0.3","0.1","0.2","4.5","1101","3"
"Cleaners of vehicles and equipment","=""53-7061""","Line Item","0.5","0.0","0.1","0.5","0.0","0.1","0.0","5.5","1102","4"
"Laborers and freight, stock, and material movers, hand","=""53-7062""","Line Item","2.7","0.2","0.1","2.9","0.2","0.1","0.1","5.5","1103","4"
"Machine feeders and offbearers","=""53-7063""","Line Item","0.3","0.0","0.6","0.2","0.0","0.6","0.0","-10.3","1104","4"
"Packers and packagers, hand","=""53-7064""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","5.4","1105","4"
"Stockers and order fillers","=""53-7065""","Line Item","1.1","0.1","0.0","1.2","0.1","0.0","0.1","5.4","1106","4"
